player_id,full_name,position,nfl_team,headshot_url
00-0038740,Jalen Moreno-Cropper,WR,NO,
00-0038748,B.T. Potter,K,TB,
00-0036187,Reggie Gilliam,RB,NE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jjntivnnkczvlclkiwwm"
00-0038794,Jaleel McLaughlin,RB,DEN,
00-0036212,Tua Tagovailoa,QB,ATL,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tmm4ohds7qci0vqoobhm"
DST_MIA,MIA D/ST,DST,MIA,
DST_MIN,MIN D/ST,DST,MIN,
00-0038839,Mitchell Tinsley,WR,CIN,
DST_SF,SF D/ST,DST,SF,
DST_NO,NO D/ST,DST,NO,
00-0038979,Cedric Tillman,WR,CLE,
00-0039144,Luke Musgrave,TE,GB,
00-0039165,Zach Charbonnet,RB,SEA,
00-0039230,Dante Miller,RB,NYG,
00-0039236,Johnny Wilson,WR,PHI,
00-0039244,Chris Collier,RB,LV,
DST_NYG,NYG D/ST,DST,NYG,
DST_NYJ,NYJ D/ST,DST,NYJ,
DST_PHI,PHI D/ST,DST,PHI,
00-0039363,Isaac Guerendo,RB,SF,
DST_PIT,PIT D/ST,DST,PIT,
DST_TB,TB D/ST,DST,TB,
DST_TEN,TEN D/ST,DST,TEN,
00-0039473,Xavier Johnson,WR,CIN,
00-0039489,Hayden Rucci,TE,SF,
00-0028986,Case Keenum,QB,CHI,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/weixhyzal4ntsyszyepu"
00-0029892,Kyle Juszczyk,RB,SF,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tsejiiddtouukwyyqr9q"
00-0031235,Odell Beckham Jr.,WR,NYG,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ffmalg3wr7lwnsz59i7v"
00-0031595,Michael Burton,RB,CLE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ibyeabk3yu68mgipxklr"
00-0039534,Carter Bradley,QB,JAX,
00-0032726,Ka'imi Fairbairn,K,HOU,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nbrs7doetqydf2rzhjjl"
00-0039577,Kedon Slovis,QB,ARI,
00-0032764,Derrick Henry,RB,BAL,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tm79x0iknqg6hms3ypyt"
00-0039631,Cam Grandy,TE,CIN,
00-0032950,Carson Wentz,QB,MIN,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vuolixdvigc8axelug66"
00-0039650,Bryce Oliver,WR,TEN,
00-0032951,Laquon Treadwell,WR,IND,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xspi3oy2wlnszorzn6vk"
00-0039677,Sam Hartman,QB,WAS,
00-0039679,Ben Nikkel,WR,IND,
00-0033077,Dak Prescott,QB,DAL,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yvscmqq1qki8zfsemmcd"
00-0039379,Jamari Thrash,WR,CLE,
00-0032775,Demarcus Robinson,WR,SF,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cokassoz2z7hb4wk2krh"
00-0033106,Jared Goff,QB,DET,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kaicbot8qhzrvddilbtp"
00-0039420,Jaheim Bell,TE,PIT,
00-0036223,Jonathan Taylor,RB,IND,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yw46ky6akdm7h7siofu8"
00-0039458,Brenden Bates,TE,CLE,
00-0036252,Michael Pittman,WR,PIT,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/q1ythn05kwcmdr4mwzll"
00-0036259,Jauan Jennings,WR,MIN,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ben8kbygzzlid6ltmdum"
00-0036264,Jordan Love,QB,GB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/thz8stjkbjwddxqnozi5"
00-0036265,AJ Dillon,RB,CAR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/imxxt8yrbrxptoxr1hw5"
00-0039521,Xavier Weaver,WR,ARI,
00-0036275,D'Andre Swift,RB,CHI,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/owpmwzoilitcodc6cmxo"
00-0036290,Cole Kmet,TE,CHI,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ysnui8mzlu2fo70ub0yt"
00-0039623,Mason Tipton,WR,NO,
00-0039626,Cole Burgess,WR,PIT,
00-0033090,Hunter Henry,TE,NE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cvlunbqgztudbhjrug7l"
00-0033110,Tyler Higbee,TE,LA,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/x1d4osiefibd04df6gow"
00-0036244,Colby Parkinson,TE,LA,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qsyrgtfjj06wryahnxc9"
00-0040200,Andy Borregales,K,NE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/x2fxn5qf6zkgmvedjpys"
00-0040556,Corey Kiner,RB,NE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tpnamrgzfbytwlzhhyf8"
00-0032156,Trevor Siemian,QB,ATL,
00-0032208,Phillip Dorsett,WR,LV,
00-0039737,Tip Reiman,TE,ARI,
00-0032394,Nick Vannett,TE,SEA,
00-0040621,Montorie Foster Jr,WR,SEA,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qkyl0pfhi4pmzdtodu9k"
DST_NE,NE D/ST,DST,NE,
DST_SEA,SEA D/ST,DST,SEA,
00-0039757,Terrell Jennings,RB,NE,
00-0033319,Nick Mullens,QB,JAX,
00-0033455,Anthony Firkser,TE,WAS,
00-0033553,James Conner,RB,ARI,
00-0033589,David Moore,WR,CAR,
00-0039907,Ja'Lynn Polk,WR,NO,
00-0039916,Ricky Pearsall,WR,SF,
00-0039750,Joshua Karty,K,LA,
00-0034955,Brett Rypien,QB,HOU,
00-0039392,Jha'Quan Jackson,WR,TB,
00-0039703,Cody Schrader,RB,DEN,
00-0039710,Jeshaun Jones,WR,MIN,
00-0039722,JaQuae Jackson,WR,LAC,
00-0039921,Trey Benson,RB,ARI,
00-0039747,Ainias Smith,WR,CAR,
00-0039754,Devin Culp,TE,TB,
00-0040415,Connor Bazelak,QB,TB,
00-0040419,Garrett Greene,WR,TB,
00-0040429,Josh Williams,RB,TB,
00-0040431,Dalen Cambre,WR,NYG,
00-0040432,Beaux Collins,WR,ATL,
00-0040438,Antwane Wells Jr.,WR,ATL,
00-0040445,Courtney Jackson,WR,TEN,
00-0040464,DJ Uiagalelei,QB,LAC,
00-0040476,Ulysses Bentley IV,RB,IND,
00-0040488,Carter Runyon,TE,LV,
00-0040222,Cam Miller,QB,MIA,
00-0040552,Joshua Simon,TE,ATL,
00-0040498,Dontae Fleming,WR,MIN,
00-0040504,Bryson Nesbit,TE,MIN,
00-0036309,Darnell Mooney,WR,NYG,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/eaejonwaflt9drrs9ika"
00-0041149,Haynes King,QB,CAR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qcloyq4ahyh0hfzo6i0i"
00-0040526,Tre Stewart,RB,ARI,
00-0040570,Jeremiah Webb,WR,NE,
00-0040528,JJ Galbreath,TE,IND,
00-0040530,Ben Sauls,K,NYG,
00-0040547,Nate Carter,RB,ATL,
00-0040551,Nick Nash,WR,WAS,
00-0040553,Quincy Skinner Jr.,WR,NYJ,
00-0036410,Tee Higgins,WR,CIN,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gpwtyv3viwy9q4ewderl"
00-0040558,Isaiah Neyor,WR,GB,
00-0036422,Adam Trautman,TE,DEN,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bqsgkwkfolczyrxmdp1j"
00-0040566,CJ Dippre,TE,NE,
00-0040567,Brock Lampe,RB,SEA,
00-0040603,Mario Williams,WR,LA,
00-0040609,Tru Edwards,WR,LA,
00-0040571,Gee Scott Jr.,WR,NYJ,
00-0036429,Charlie Woerner,TE,ATL,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tuzldnhk23mvsapfejqd"
00-0036442,Joe Burrow,QB,CIN,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gnnvcgui1cijybukk2w7"
00-0036463,Chris Blair,WR,ATL,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gfkhv6k1wr45fnhl0p1d"
00-0036550,Rashod Bateman,WR,BAL,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gtktmsfcxc1eijwpwzyq"
00-0040586,Jaydon Blue,RB,DAL,
00-0036554,Nico Collins,WR,HOU,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fguybjrn1kwflxm5szwq"
00-0036555,Chuba Hubbard,RB,CAR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rzsvnt0pxsaize2ndhxm"
00-0040649,Robbie Ouzts,RB,SEA,
00-0040597,Brennan Presley,WR,LA,
00-0036556,Brevin Jordan,TE,HOU,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rn42gehfbeflx2px8njx"
00-0040601,Jordan Waters,RB,LA,
00-0040616,Kisean Johnson,WR,GB,
00-0040617,Luke Floriea,WR,CLE,
00-0040618,Max Hurleman,RB,PIT,
00-0036590,Quintin Morris,TE,JAX,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/auqtvapzdtpdxg6myw6b"
00-0040628,Drake Dabney,TE,GB,
00-0040629,Dalevon Campbell,WR,LAC,
00-0040633,Kyrese Rowan,WR,DEN,
00-0040637,Lucas Scott,RB,BAL,
00-0040644,Trevor Etienne,RB,CAR,
00-0036613,Jaylen Waddle,WR,DEN,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gkh7m1jedon9mwn5jlf1"
00-0036626,Dyami Brown,WR,WAS,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/addv9eheok1jj7amfkpb"
00-0040651,Damien Martinez,RB,GB,
00-0040653,Ricky White III,WR,SEA,
00-0040656,Hunter Dekkers,QB,NO,
00-0036628,John Bates,TE,WAS,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sqaiwpind6kk4ns4acql"
